CuisineType,RestaurantID,Description
Italian,1,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,1,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,1,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,2,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,3,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,3,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,4,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,4,Specializes in authentic Italian cuisine with a modern twist.
Italian,5,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,6,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,6,Specializes in authentic Italian cuisine with a modern twist.
Indian,6,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,7,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,8,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,8,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,8,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,9,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,9,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,9,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,10,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,11,Specializes in authentic Italian cuisine with a modern twist.
Italian,12,Specializes in authentic Italian cuisine with a modern twist.
Arabic,12,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,12,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,13,Specializes in authentic Arabic cuisine with a modern twist.
Italian,13,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,14,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,14,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,15,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,16,Specializes in authentic Arabic cuisine with a modern twist.
Indian,17,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,17,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,17,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,18,Specializes in authentic Italian cuisine with a modern twist.
Indian,18,Specializes in authentic Indian cuisine with a modern twist.
Arabic,19,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,20,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,20,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,21,Specializes in authentic Arabic cuisine with a modern twist.
Italian,22,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,23,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,23,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,24,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,25,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,26,Specializes in authentic Arabic cuisine with a modern twist.
Italian,26,Specializes in authentic Italian cuisine with a modern twist.
Italian,26,Specializes in authentic Italian cuisine with a modern twist.
Indian,27,Specializes in authentic Indian cuisine with a modern twist.
Italian,27,Specializes in authentic Italian cuisine with a modern twist.
Arabic,27,Specializes in authentic Arabic cuisine with a modern twist.
Indian,28,Specializes in authentic Indian cuisine with a modern twist.
Indian,28,Specializes in authentic Indian cuisine with a modern twist.
Italian,28,Specializes in authentic Italian cuisine with a modern twist.
Arabic,29,Specializes in authentic Arabic cuisine with a modern twist.
Italian,29,Specializes in authentic Italian cuisine with a modern twist.
Arabic,30,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,30,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,30,Specializes in authentic Italian cuisine with a modern twist.
Indian,31,Specializes in authentic Indian cuisine with a modern twist.
Italian,31,Specializes in authentic Italian cuisine with a modern twist.
Arabic,32,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,32,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,33,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,34,Specializes in authentic Italian cuisine with a modern twist.
Arabic,34,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,34,Specializes in authentic Arabic cuisine with a modern twist.
Indian,35,Specializes in authentic Indian cuisine with a modern twist.
Italian,35,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,36,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,36,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,37,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,37,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,38,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,39,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,40,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,41,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,41,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,42,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,43,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,44,Specializes in authentic Arabic cuisine with a modern twist.
Italian,45,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,45,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,46,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,46,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,47,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,47,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,48,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,49,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,49,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,50,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,51,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,51,Specializes in authentic Indian cuisine with a modern twist.
Indian,52,Specializes in authentic Indian cuisine with a modern twist.
Italian,52,Specializes in authentic Italian cuisine with a modern twist.
Indian,53,Specializes in authentic Indian cuisine with a modern twist.
Arabic,53,Specializes in authentic Arabic cuisine with a modern twist.
Indian,53,Specializes in authentic Indian cuisine with a modern twist.
Italian,54,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,54,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,55,Specializes in authentic Italian cuisine with a modern twist.
Arabic,56,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,57,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,58,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,58,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,58,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,59,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,59,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,59,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,60,Specializes in authentic Italian cuisine with a modern twist.
Indian,60,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,60,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,61,Specializes in authentic Italian cuisine with a modern twist.
Indian,61,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,61,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,62,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,62,Specializes in authentic Italian cuisine with a modern twist.
