MenuItemID,ItemName,Description,Price,RestaurantID,IsAvailable,PreparationTime,IsVegetarian,IsSpicy,AllergensInfo
1,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,37.58,1,1,42,1,0,None
2,Kebab,A classic Kebab dish prepared with traditional recipes.,48.71,1,1,42,0,1,Nuts
3,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,42.76,1,1,26,0,0,Gluten
4,Falafel,A classic Falafel dish prepared with traditional recipes.,83.08,1,1,42,1,0,Nuts
5,Kebab,A classic Kebab dish prepared with traditional recipes.,112.68,1,1,29,0,1,Dairy
6,Molokhia,A classic Molokhia dish prepared with traditional recipes.,34.92,1,1,38,1,0,Gluten
7,Om Ali,A classic Om Ali dish prepared with traditional recipes.,145.28,1,1,38,0,0,None
8,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,125.23,1,1,40,1,0,Dairy
9,Kebab,A classic Kebab dish prepared with traditional recipes.,110.61,1,1,36,0,1,Gluten
10,Falafel,A classic Falafel dish prepared with traditional recipes.,23.22,1,1,38,1,0,None
11,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,50.57,2,1,15,0,0,Dairy
12,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,94.35,2,1,31,1,0,Gluten
13,Shawarma,A classic Shawarma dish prepared with traditional recipes.,40.71,2,1,43,0,1,Gluten
14,Om Ali,A classic Om Ali dish prepared with traditional recipes.,52.55,2,1,18,0,0,None
15,Shawarma,A classic Shawarma dish prepared with traditional recipes.,35.55,2,1,29,0,1,None
16,Koshary,A classic Koshary dish prepared with traditional recipes.,71.7,2,1,42,1,0,Nuts
17,Kofta,A classic Kofta dish prepared with traditional recipes.,23.59,2,1,24,0,1,Dairy
18,Kofta,A classic Kofta dish prepared with traditional recipes.,66.63,2,1,16,0,1,Gluten
19,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,68.26,2,1,37,1,0,Gluten
20,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,89.08,2,1,20,1,0,None
21,Shawarma,A classic Shawarma dish prepared with traditional recipes.,75.6,3,1,32,0,1,Nuts
22,Falafel,A classic Falafel dish prepared with traditional recipes.,117.23,3,1,33,1,0,None
23,Om Ali,A classic Om Ali dish prepared with traditional recipes.,119.77,3,1,16,0,0,None
